AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,EventID,Start,End,Duration_hrs,Total_Rain,Max_Hourly,Average_Intensity
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,86,2025-08-13 23:00:00,2025-08-13 23:00:00,1,0.5,0.5,0.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,87,2025-08-14 01:00:00,2025-08-14 03:00:00,3,1.0,0.5,0.3333333333333333
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,88,2025-08-14 07:00:00,2025-08-14 07:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,89,2025-08-14 10:00:00,2025-08-14 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,90,2025-08-14 22:00:00,2025-08-15 02:00:00,5,4.0,1.75,0.8
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,91,2025-08-15 22:00:00,2025-08-16 05:00:00,8,24.25,9.75,3.03125
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,92,2025-08-16 10:00:00,2025-08-16 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,93,2025-08-17 15:00:00,2025-08-17 17:00:00,3,1.5,1.0,0.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,94,2025-08-17 21:00:00,2025-08-18 07:00:00,11,36.25,9.0,3.2954545454545454
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,95,2025-08-18 23:00:00,2025-08-19 07:00:00,9,20.25,6.5,2.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,96,2025-08-20 08:00:00,2025-08-20 08:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,97,2025-08-20 20:00:00,2025-08-20 21:00:00,2,2.75,2.5,1.375
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,98,2025-08-26 19:00:00,2025-08-26 19:00:00,1,1.25,1.25,1.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,99,2025-08-26 21:00:00,2025-08-27 00:00:00,4,9.25,6.75,2.3125
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,100,2025-08-27 03:00:00,2025-08-27 08:00:00,6,12.0,5.0,2.0
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,101,2025-08-27 10:00:00,2025-08-27 15:00:00,6,10.75,4.25,1.7916666666666667
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,102,2025-08-28 02:00:00,2025-08-28 02:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,103,2025-08-28 05:00:00,2025-08-28 07:00:00,3,5.5,2.0,1.8333333333333333
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,104,2025-08-28 10:00:00,2025-08-28 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,105,2025-08-29 03:00:00,2025-08-29 03:00:00,1,1.25,1.25,1.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,106,2025-08-29 18:00:00,2025-08-29 19:00:00,2,9.25,8.75,4.625
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,107,2025-08-29 21:00:00,2025-08-29 21:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,108,2025-08-29 23:00:00,2025-08-29 23:00:00,1,0.5,0.5,0.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,109,2025-08-31 17:00:00,2025-08-31 17:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,110,2025-09-02 14:00:00,2025-09-02 14:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,111,2025-09-02 16:00:00,2025-09-02 16:00:00,1,0.5,0.5,0.5
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,112,2025-09-04 02:00:00,2025-09-04 02:00:00,1,3.0,3.0,3.0
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,113,2025-09-04 07:00:00,2025-09-04 07:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,114,2025-09-05 22:00:00,2025-09-05 22:00:00,1,0.75,0.75,0.75
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,115,2025-09-10 17:00:00,2025-09-10 17:00:00,1,11.25,11.25,11.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,116,2025-09-11 17:00:00,2025-09-11 22:00:00,6,11.75,3.5,1.9583333333333333
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,117,2025-09-12 03:00:00,2025-09-12 03:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,118,2025-09-13 18:00:00,2025-09-13 21:00:00,4,5.5,2.5,1.375
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,119,2025-09-14 18:00:00,2025-09-14 23:00:00,6,43.0,16.5,7.166666666666667
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,120,2025-09-15 08:00:00,2025-09-15 08:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,121,2025-09-17 07:00:00,2025-09-17 08:00:00,2,14.5,13.75,7.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,122,2025-09-17 10:00:00,2025-09-17 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,123,2025-09-17 14:00:00,2025-09-17 14:00:00,1,0.75,0.75,0.75
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,124,2025-09-17 21:00:00,2025-09-18 03:00:00,7,38.75,17.0,5.535714285714286
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,125,2025-09-18 18:00:00,2025-09-18 19:00:00,2,1.25,1.0,0.625
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,126,2025-09-21 20:00:00,2025-09-22 04:00:00,9,46.25,29.75,5.138888888888889
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,127,2025-09-22 06:00:00,2025-09-22 06:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,128,2025-09-22 08:00:00,2025-09-22 08:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,129,2025-09-22 10:00:00,2025-09-22 11:00:00,2,0.5,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,130,2025-09-22 15:00:00,2025-09-22 15:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,131,2025-09-22 18:00:00,2025-09-22 18:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,132,2025-09-23 00:00:00,2025-09-23 00:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,133,2025-09-23 05:00:00,2025-09-23 05:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,134,2025-09-23 12:00:00,2025-09-23 12:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,135,2025-09-23 14:00:00,2025-09-23 14:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,136,2025-09-23 20:00:00,2025-09-23 20:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,137,2025-09-24 01:00:00,2025-09-24 01:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,138,2025-09-24 10:00:00,2025-09-24 10:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,139,2025-09-24 12:00:00,2025-09-24 12:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,140,2025-09-24 17:00:00,2025-09-24 17:00:00,1,0.25,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,141,2025-09-24 19:00:00,2025-09-24 20:00:00,2,0.5,0.25,0.25
10001,Medchal-Malkajgiri,Uppal,Moulali,Circle-28(Malkajgiri),17.456022,78.580806,142,2025-09-24 22:00:00,2025-09-24 22:00:00,1,0.25,0.25,0.25
