AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,Total_Rainy_Days,Mean_Daily_Rain,Max_Daily_Rain,Mean_Intensity,Longest_Wet_Spell_days
30161,Medchal-Malkajgiri,Balanagar,Bowenpally ward office,Circle-24 (Kukatpally),17.47671308,78.47877272,75,11.973333333333333,118.25,2.5541957671957674,10
30162,Medchal-Malkajgiri,Quthbullapur,"GHMC Ward Office,Mahadevapuram",Circle-25 (Gajularamaram),17.517122,78.413698,99,12.244949494949495,151.5,2.629057782433451,15
30163,Rangareddy,Saroornagar,"Ward Office Building,SBI Colony Champapet",Circle-4 (L.B.Nagar),17.345945,78.515231,94,12.893617021276595,122.75,2.8893401810955,15
30164,Medchal-Malkajgiri,Uppal,"GHMC Zonal Office, Uppal",Circle-2 (Uppal),17.40106991,78.57118694,69,14.94927536231884,110.5,3.6378369617500055,8
30165,Rangareddy,Hayathnagar,"Defence Colony Comm Hall,  Hayath Nagar",Circle-3 (Hayath Nagar),17.31861305,78.61245728,99,11.22979797979798,104.25,2.6768359096010608,17
30166,Rangareddy,Hayathnagar,"Model Market Bldg NGOs Colony, Vansathalipuram",Circle-3 (Hayath Nagar),17.327703,78.563039,99,10.914141414141413,61.5,2.516559716938505,15
30167,Rangareddy,Saroornagar,Ghmc Transport Building ,Circle-5 (Saroor Nagar),17.35851,78.53636,87,13.491379310344827,120.25,2.9547837290611123,15
30168,Medchal-Malkajgiri,Kapra,Sainikpuri Shopping Complex,Circle-1 (Kapra),17.48398,78.55005,84,8.601190476190476,61.75,2.2299751257340543,15
30169,Hyderabad,Musheerabad,Jawahar Nagar Community Hall ,Circle-15 (Musheerabad),17.40904912,78.49124616,82,16.8109756097561,114.25,3.9882595554851648,13
30170,Hyderabad,Musheerabad,Talla Basthi Community Hall ,Circle-15 (Musheerabad),17.42012356,78.4901951,118,12.474576271186441,153.0,2.5505290404109573,30
30171,Hyderabad,Himayatnagar,TSRTC Employee Building Vidya Nagar,Circle-15 (Musheerabad),17.40369439,78.50513262,92,13.980978260869565,92.5,3.1455031683292556,15
30172,Hyderabad,Himayatnagar,"Ward Office, Nehru Nagar",Circle-16 (Amberpet),17.38907,78.50261,91,11.708791208791208,76.0,2.6344102783663224,15
30173,Hyderabad,Musheerabad,"Bholakpur Comm Hall, Near  Musheerabad PS ",Circle-15 (Musheerabad),17.41956,78.50078,92,15.434782608695652,131.25,3.7042942036827906,15
30174,Hyderabad,Amberpet,"GHMC Sports Complex, Amberpet",Circle-16 (Amberpet),17.39176074,78.51821394,96,11.138020833333334,87.25,2.542215965458153,15
30175,Medchal-Malkajgiri,Malkajgiri,Vinayak Nagar Ward office,Circle-28 (Malkajgiri),17.468058,78.541716,58,11.85344827586207,59.75,2.4514834782076163,8
30176,Hyderabad,Musheerabad,Adikmet Ward office,Circle-15 (Musheerabad),17.40918229,78.51529952,91,12.826923076923077,96.0,3.0633778919493206,15
30177,Hyderabad,Musheerabad,Boudha Nagar Community Hall,Circle-29 (Secunderabad),17.41600702,78.51737759,94,15.914893617021276,124.0,3.563457235731172,14
30178,Hyderabad,Musheerabad,"MCH Colony, Library Building",Circle-15 (Musheerabad),17.41735153,78.50809723,92,15.434782608695652,157.25,3.4085867861003734,15
30180,Hyderabad,Khairatabad,"Old Ward Office ,Rahmathnagar",Circle-19 (Yousufguda),17.440569,78.421435,90,13.683333333333334,83.25,3.1731615173588215,17
30181,Medchal-Malkajgiri,Balanagar,Old sultan nagar Community hall,Circle-19 (Yousufguda),17.455077,78.432912,85,11.5,77.0,2.7168785544520837,17
